run_id,density,seed,active_products,digital_pass,neuro_pass,digital_energy_pj,neuro_energy_pj,ratio_neuro_over_digital,digital_latency_ns,neuro_latency_ns,digital_energy_per_active_pj,neuro_energy_per_active_pj,point_dir,metadata_json,digital_result,neuro_result
20260204_133308,0.10,1,3,PASS,PASS,0.047077920,20.695430000,439.599498024,0.142000000,2.224000000,0.015692640,6.898476667,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.10_s_1,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.10_s_1/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.10_s_1/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.10_s_1/matmul4x4_binary_neuro_test.txt
20260204_133308,0.10,2,1,PASS,PASS,0.016486290,16.877740000,1023.743971506,0.160000000,2.224000000,0.016486290,16.877740000,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.10_s_2,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.10_s_2/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.10_s_2/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.10_s_2/matmul4x4_binary_neuro_test.txt
20260204_133308,0.10,3,2,PASS,PASS,0.044385440,13.792270000,310.738611581,0.190000000,2.231000000,0.022192720,6.896135000,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.10_s_3,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.10_s_3/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.10_s_3/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.10_s_3/matmul4x4_binary_neuro_test.txt
20260204_133308,0.10,4,0,PASS,PASS,0.000456887,9.979241000,21841.790375092,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.10_s_4,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.10_s_4/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.10_s_4/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.10_s_4/matmul4x4_binary_neuro_test.txt
20260204_133308,0.08,1,2,PASS,PASS,0.032311740,17.123380000,529.942986667,0.142000000,2.224000000,0.016155870,8.561690000,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.08_s_1,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.08_s_1/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.08_s_1/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.08_s_1/matmul4x4_binary_neuro_test.txt
20260204_133308,0.08,2,0,PASS,PASS,0.000508944,13.305640000,26143.622874029,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.08_s_2,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.08_s_2/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.08_s_2/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.08_s_2/matmul4x4_binary_neuro_test.txt
20260204_133308,0.08,3,2,PASS,PASS,0.044385440,13.792270000,310.738611581,0.190000000,2.231000000,0.022192720,6.896135000,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.08_s_3,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.08_s_3/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.08_s_3/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.08_s_3/matmul4x4_binary_neuro_test.txt
20260204_133308,0.08,4,0,PASS,PASS,0.000340579,3.326447000,9767.046432160,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.08_s_4,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.08_s_4/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.08_s_4/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.08_s_4/matmul4x4_binary_neuro_test.txt
20260204_133308,0.06,1,2,PASS,PASS,0.032311740,17.123380000,529.942986667,0.142000000,2.224000000,0.016155870,8.561690000,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.06_s_1,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.06_s_1/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.06_s_1/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.06_s_1/matmul4x4_binary_neuro_test.txt
20260204_133308,0.06,2,0,PASS,PASS,0.000508944,13.305640000,26143.622874029,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.06_s_2,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.06_s_2/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.06_s_2/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.06_s_2/matmul4x4_binary_neuro_test.txt
20260204_133308,0.06,3,1,PASS,PASS,0.014634700,6.898510000,471.380349443,0.144000000,2.224000000,0.014634700,6.898510000,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.06_s_3,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.06_s_3/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.06_s_3/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.06_s_3/matmul4x4_binary_neuro_test.txt
20260204_133308,0.06,4,0,PASS,PASS,0.000254014,0.000050043,0.197008509,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.06_s_4,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.06_s_4/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.06_s_4/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.06_s_4/matmul4x4_binary_neuro_test.txt
20260204_133308,0.05,1,2,PASS,PASS,0.032311740,17.123380000,529.942986667,0.142000000,2.224000000,0.016155870,8.561690000,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.05_s_1,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.05_s_1/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.05_s_1/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.05_s_1/matmul4x4_binary_neuro_test.txt
20260204_133308,0.05,2,0,PASS,PASS,0.000408138,9.979241000,24450.665927047,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.05_s_2,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.05_s_2/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.05_s_2/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.05_s_2/matmul4x4_binary_neuro_test.txt
20260204_133308,0.05,3,1,PASS,PASS,0.014634700,6.898510000,471.380349443,0.144000000,2.224000000,0.014634700,6.898510000,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.05_s_3,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.05_s_3/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.05_s_3/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.05_s_3/matmul4x4_binary_neuro_test.txt
20260204_133308,0.05,4,0,PASS,PASS,0.000254014,0.000050043,0.197008509,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.05_s_4,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.05_s_4/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.05_s_4/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.05_s_4/matmul4x4_binary_neuro_test.txt
20260204_133308,0.04,1,2,PASS,PASS,0.032311740,17.123380000,529.942986667,0.142000000,2.224000000,0.016155870,8.561690000,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.04_s_1,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.04_s_1/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.04_s_1/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.04_s_1/matmul4x4_binary_neuro_test.txt
20260204_133308,0.04,2,0,PASS,PASS,0.000408138,9.979241000,24450.665927047,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.04_s_2,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.04_s_2/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.04_s_2/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.04_s_2/matmul4x4_binary_neuro_test.txt
20260204_133308,0.04,3,1,PASS,PASS,0.014634700,6.898510000,471.380349443,0.144000000,2.224000000,0.014634700,6.898510000,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.04_s_3,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.04_s_3/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.04_s_3/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.04_s_3/matmul4x4_binary_neuro_test.txt
20260204_133308,0.04,4,0,PASS,PASS,0.000254014,0.000050043,0.197008509,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.04_s_4,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.04_s_4/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.04_s_4/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.04_s_4/matmul4x4_binary_neuro_test.txt
20260204_133308,0.03,1,2,PASS,PASS,0.032315280,13.796970000,426.948799453,0.142000000,2.224000000,0.016157640,6.898485000,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.03_s_1,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.03_s_1/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.03_s_1/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.03_s_1/matmul4x4_binary_neuro_test.txt
20260204_133308,0.03,2,0,PASS,PASS,0.000356752,6.652844000,18648.382432829,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.03_s_2,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.03_s_2/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.03_s_2/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.03_s_2/matmul4x4_binary_neuro_test.txt
20260204_133308,0.03,3,0,PASS,PASS,0.000340845,3.326447000,9759.401183058,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.03_s_3,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.03_s_3/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.03_s_3/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.03_s_3/matmul4x4_binary_neuro_test.txt
20260204_133308,0.03,4,0,PASS,PASS,0.000254014,0.000050043,0.197008509,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.03_s_4,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.03_s_4/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.03_s_4/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.03_s_4/matmul4x4_binary_neuro_test.txt
20260204_133308,0.02,1,0,PASS,PASS,0.000342190,3.326447000,9721.046949913,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.02_s_1,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.02_s_1/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.02_s_1/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.02_s_1/matmul4x4_binary_neuro_test.txt
20260204_133308,0.02,2,0,PASS,PASS,0.000254014,0.000050043,0.197008509,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.02_s_2,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.02_s_2/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.02_s_2/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.02_s_2/matmul4x4_binary_neuro_test.txt
20260204_133308,0.02,3,0,PASS,PASS,0.000340845,3.326447000,9759.401183058,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.02_s_3,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.02_s_3/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.02_s_3/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.02_s_3/matmul4x4_binary_neuro_test.txt
20260204_133308,0.02,4,0,PASS,PASS,0.000254014,0.000050043,0.197008509,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.02_s_4,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.02_s_4/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.02_s_4/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.02_s_4/matmul4x4_binary_neuro_test.txt
20260204_133308,0.01,1,0,PASS,PASS,0.000342190,3.326447000,9721.046949913,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.01_s_1,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.01_s_1/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.01_s_1/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.01_s_1/matmul4x4_binary_neuro_test.txt
20260204_133308,0.01,2,0,PASS,PASS,0.000254014,0.000050043,0.197008509,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.01_s_2,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.01_s_2/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.01_s_2/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.01_s_2/matmul4x4_binary_neuro_test.txt
20260204_133308,0.01,3,0,PASS,PASS,0.000254014,0.000050043,0.197008509,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.01_s_3,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.01_s_3/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.01_s_3/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.01_s_3/matmul4x4_binary_neuro_test.txt
20260204_133308,0.01,4,0,PASS,PASS,0.000254014,0.000050043,0.197008509,0.000000000,0.000000000,,,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.01_s_4,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.01_s_4/matmul4x4_metadata.json,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.01_s_4/matmul4x4_binary_digital_test.txt,/home/v71349/analog-gradients/competition/sweeps/matmul4x4_crossover/20260204_133308/p_0.01_s_4/matmul4x4_binary_neuro_test.txt
